lambda_name,vba_name,exclusive_form,callback,category,description
BI_ExtractText,BI_ExtractText,frmBI_F039,BI_Tool_Form_F039,Text,Extracts all the characters from a  text string excluding numbers.
BI_FDRSchedule,BI_FDRSchedule,frmBI_F040,BI_Tool_Form_F040,Financial,Returns the Fixed Deposit Schedule of Interest calculations and maturiy value.
BI_FillDown,BI_FillDown,frmBI_F041,BI_Tool_Form_F041,Text,Fills down blank cells with the content above.
BI_FinancialYear,BI_FinancialYear,frmBI_F042,BI_Tool_Form_F042,Date,Returns  the financial year (1st April to 31st March) of any date.
BI_FinancialYearEnd,BI_FinancialYearEnd,frmBI_F043,BI_Tool_Form_F043,Date,Returns  the financial year end (31st March) of any date.
BI_FinancialYearStart,BI_FinancialYearStart,frmBI_F044,BI_Tool_Form_F044,Date,Returns  the financial year start (1st April) of any date.
BI_FindDuplicates,BI_FindDuplicates,frmBI_F045,BI_Tool_Form_F045,Audit,Returns duplicate values from a list
BI_FindMissingNumbers,BI_FindMissingNumbers,frmBI_F046,BI_Tool_Form_F046,Audit,Returns missing numbers from a list of numbers
BI_FindOneOf,BI_FindOneOf,frmBI_F047,BI_Tool_Form_F047,Audit,"Returns the position of the first specified character value in a string. If the specified value is not found, 0 is returned. CaseWare IDEA inspiration."
BI_FindUnique,BI_FindUnique,frmBI_F048,BI_Tool_Form_F048,Audit,Returns the values available only once (without duplicates) in a list.
BI_FormulaList,BI_FormulaList,frmBI_F049,BI_Tool_Form_F049,Audit,Returns the formula list in the specified range.
BI_Fuzzy,BI_Fuzzy,frmBI_F050,BI_Tool_Form_F050,Audit,Returns the number of modifications required to change from first text to second text. This finds Levenshtein distance between two strings.
BI_GEL1Test,BI_GEL1Test,frmBI_F051,BI_Tool_Form_F051,Forensic Audit,Calculates Gestalt Element Link Test between two columns of related data like Salesman and Customer
BI_GEL2Test,BI_GEL2Test,frmBI_F052,BI_Tool_Form_F052,Forensic Audit,Calculates Gestalt Element Link Test 2 between two columns of related data like Salesman and Customer for a particular dataitem.
BI_GenerateRandom,BI_GenerateRandom,frmBI_F053,BI_Tool_Form_F053,Statistics,Function to generate static random numbers between 0 and 1 using a Random Seed. This is one of the Data Analysis Toolpak features.
BI_GenerateRandomBetween,BI_GenerateRandomBetween,frmBI_F054,BI_Tool_Form_F054,Statistics,Function to generate static random numbers between two numbers using a Random Seed. This is one of the Data Analysis Toolpak features.
BI_Histogram,BI_Histogram,frmBI_F055,BI_Tool_Form_F055,Statistics,Function to create Histogram analysis. This is one of the Data Analysis Toolpak features.
BI_IndianNum2Word,BI_IndianNum2Word,frmBI_F056,BI_Tool_Form_F056,Indian,Returns the Indian spelling of a number. (Maximum 16 digits)
BI_Insert,BI_Insert,frmBI_F057,BI_Tool_Form_F057,Text,Inserts a sub-string into Character field or string before a specified position.
BI_IsCharAtoZ,BI_IsCharAtoZ,frmBI_F058,BI_Tool_Form_F058,Text,Verifies whether the character is an alphabet from a to z.
BI_IsLeap,BI_IsLeap,frmBI_F059,BI_Tool_Form_F059,Date,Returns whether the year of a date is a leap year
BI_IsValidPAN,BI_IsValidPAN,frmBI_F060,BI_Tool_Form_F060,Audit,Function to validate Indian Income Tax PAN
BI_LuhnAlgorithm,BI_LuhnAlgorithm,frmBI_F061,BI_Tool_Form_F061,Audit,Uses Luhn Algorithm to test the validity of Credit/Debit Card Numbers
BI_MonthlyCalendar,BI_MonthlyCalendar,frmBI_F062,BI_Tool_Form_F062,Date,Returns the monthly Calendar
BI_MovingAverage,BI_MovingAverage,frmBI_F063,BI_Tool_Form_F063,Statistics,Returns the moving average calculation of data. This is one of the Data Analysis Toolpak features.
BI_MUS_Evaluate_OverStatement,BI_MUS_Evaluate_OverStatement,frmBI_F064,BI_Tool_Form_F064,Audit Sampling,Returns Monetary Unit Sampling evaluation of Over Statement from the Audited and Samples data.
BI_MUS_Evaluate_UnderStatement,BI_MUS_Evaluate_UnderStatement,frmBI_F065,BI_Tool_Form_F065,Audit Sampling,Returns Monetary Unit Sampling evaluation of Under Statement from the Audited and Samples data.
BI_MUS_ExtractSample,BI_MUS_ExtractSample,frmBI_F066,BI_Tool_Form_F066,Audit Sampling,Returns Monetary Unit Sampling Samples from Data.
BI_MUS_SampleSize,BI_MUS_SampleSize,frmBI_F067,BI_Tool_Form_F067,Audit Sampling,Returns Monetary Unit Sample size.
BI_NetworkDays.Indian,BI_NetworkDays_Indian,frmBI_F068,BI_Tool_Form_F068,Other,Returns the number of whole work days between two dates considering Indian banking holidays (second and fourth Saturdays as holidays).
BI_Num2Word,BI_Num2Word,frmBI_F069,BI_Tool_Form_F069,Text,Returns the English spelling of a Number
BI_OhlsonsOScore,BI_OhlsonsOScore,frmBI_F070,BI_Tool_Form_F070,Forensic Audit,Calculate Ohlsons O Score
BI_OhlsonsOScoreVariables,BI_OhlsonsOScoreVariables,frmBI_F071,BI_Tool_Form_F071,Forensic Audit,Calculates Ohlsons O Score. It is used for predicting bankruptcy is a multi-factor financial formula postulated in 1980 by Dr. James Ohlson of the New York University
BI_PaybackPeriod,BI_PaybackPeriod,frmBI_F072,BI_Tool_Form_F072,Financial,Returns the payback period from series of cash flows
BI_PiotroskiFScore,BI_PiotroskiFScore,frmBI_F073,BI_Tool_Form_F073,Forensic Audit,Calculates Piotroski F-score. Use BI_PiotroskiFScoreVariables() to list the variables and enter two years data
BI_PiotroskiFScoreVariables,BI_PiotroskiFScoreVariables,frmBI_F074,BI_Tool_Form_F074,Forensic Audit,Lists out Piotroski F Score variables to make it easy to enter two years data for calculating Piotroski F Score.
BI_Pivot,BI_Pivot,frmBI_F075,BI_Tool_Form_F075,Data,Creates a Pivot Table from Data.
BI_Quarter,BI_Quarter,frmBI_F076,BI_Tool_Form_F076,Date,Returns the Quarter number for a date.
BI_QuarterEnd,BI_QuarterEnd,frmBI_F077,BI_Tool_Form_F077,Date,Returns the Quarter ending date.
BI_QuarterStart,BI_QuarterStart,frmBI_F078,BI_Tool_Form_F078,Date,Returns the Quarter Starting date.
BI_Rank.Dense,BI_Rank_Dense,frmBI_F079,BI_Tool_Form_F079,Statistics,Returns the Rank without any missing rank when there is a tie.
BI_Regression,BI_Regression,frmBI_F080,BI_Tool_Form_F080,Statistics,Calculates the Linear Regression. This is one of the Data Analysis Toolpak features.
BI_RelativeSizeFactor,BI_RelativeSizeFactor,frmBI_F081,BI_Tool_Form_F081,Forensic Audit,Returns the Relative Size Factor of given data on any attribute.
BI_ReverseText,BI_ReverseText,frmBI_F082,BI_Tool_Form_F082,Text,Returns the text in reverse order.
BI_RoundNumbersTest,BI_RoundNumbersTest,frmBI_F083,BI_Tool_Form_F083,Forensic Audit,Returns the Round numbers test in data.
BI_RowOccurence,BI_RowOccurence,frmBI_F084,BI_Tool_Form_F084,Array,Returns how many times the same complete row or selected columns occurs in the data.
BI_RunningTotal,BI_RunningTotal,frmBI_F085,BI_Tool_Form_F085,Data,Returns Running Total of Data
BI_RupeeSymbol,BI_RupeeSymbol,frmBI_F086,BI_Tool_Form_F086,Indian,Returns the Rupee Symbol ₹
BI_SameSameDifferentTest,BI_SameSameDifferentTest,frmBI_F087,BI_Tool_Form_F087,Forensic Audit,Returns Same values in specified columns and different value in third column. Useful in forensic audit.
BI_SameSameSameTest,BI_SameSameSameTest,frmBI_F088,BI_Tool_Form_F088,Forensic Audit,"Returns Same values in the given columns (like invoice number, supplier id, employee id). Useful in forensic audit."
BI_SLNSchedule,BI_SLNSchedule,frmBI_F089,BI_Tool_Form_F089,Financial,Returns Straight Line Method of Depreciation Schedule.
BI_SubsetNumberDuplicationTest,BI_SubsetNumberDuplicationTest,frmBI_F090,BI_Tool_Form_F090,Forensic Audit,Calculates the Subset Number Duplication Test.
BI_Summary,BI_Summary,frmBI_F091,BI_Tool_Form_F091,Data,Returns Summary of data according to any attribute.
BI_TextSplitByPositions,BI_TextSplitByPositions,frmBI_F092,BI_Tool_Form_F092,Text,Returns an array of text split by number of positions as in Power Query.
BI_TopN,BI_TopN,frmBI_F093,BI_Tool_Form_F093,Statistics,Returns Top N ranked rows of a column of data.
BI_TopPercent,BI_TopPercent,frmBI_F094,BI_Tool_Form_F094,Statistics,Returns Top N Percentage of Data
BI_Unpivot,BI_Unpivot,frmBI_F095,BI_Tool_Form_F095,Data,Returns unpivoted data
BI_UnpivotExceptFirst,BI_UnpivotExceptFirst,frmBI_F096,BI_Tool_Form_F096,Data,Unpivot Except First Column
BI_WDVSchedule,BI_WDVSchedule,frmBI_F097,BI_Tool_Form_F097,Financial,Returns Written Down Value (Declining Balance) Method of Depreciation Schedule.
BI_WordCount,BI_WordCount,frmBI_F098,BI_Tool_Form_F098,Text,Returns the number of words in text.
BI_WorkDay.Indian,BI_WorkDay_Indian,frmBI_F099,BI_Tool_Form_F099,Other,Returns the date after a specified number of Indian workdays (Second and Fourth Saturdays as holidays)
BI_YearlyCalendar,BI_YearlyCalendar,frmBI_F100,BI_Tool_Form_F100,Date,Returns the Yearly Calendar of any date or current date in horizontal or vertical format.
BI_ZScore,BI_ZScore,frmBI_F101,BI_Tool_Form_F101,Statistics,Returns the Z Score of data.
