idx,lambda_name,vba_name,form,callback,params,syntax,description,category
52,BI_GEL2Test,BI_GEL2Test,frmBI_F052,BI_Tool_Form_F052,AnalyzeData|RelatedData|DataItem|Total,"BI_GEL2Test(AnalyzeData, RelatedData, DataItem, Total)",Calculates Gestalt Element Link Test 2 between two columns of related data like Salesman and Customer for a particular dataitem.,Forensic Audit
53,BI_GenerateRandom,BI_GenerateRandom,frmBI_F053,BI_Tool_Form_F053,Seed|Size,"BI_GenerateRandom(Seed, Size)",Function to generate static random numbers between 0 and 1 using a Random Seed. This is one of the Data Analysis Toolpak features.,Statistics
54,BI_GenerateRandomBetween,BI_GenerateRandomBetween,frmBI_F054,BI_Tool_Form_F054,Seed|Size|Bottom|Top|Integer,"BI_GenerateRandomBetween(Seed, Size, Bottom, Top, Integer)",Function to generate static random numbers between two numbers using a Random Seed. This is one of the Data Analysis Toolpak features.,Statistics
55,BI_Histogram,BI_Histogram,frmBI_F055,BI_Tool_Form_F055,Range|BinStart|BinIncrement,"BI_Histogram(Range, BinStart, BinIncrement)",Function to create Histogram analysis. This is one of the Data Analysis Toolpak features.,Statistics
56,BI_IndianNum2Word,BI_IndianNum2Word,frmBI_F056,BI_Tool_Form_F056,Number,BI_IndianNum2Word(Number),Returns the Indian spelling of a number. (Maximum 16 digits),Indian
57,BI_Insert,BI_Insert,frmBI_F057,BI_Tool_Form_F057,Text|Position|InsertText,"BI_Insert(Text, Position, InsertText)",Inserts a sub-string into Character field or string before a specified position.,Text
58,BI_IsCharAtoZ,BI_IsCharAtoZ,frmBI_F058,BI_Tool_Form_F058,Character,BI_IsCharAtoZ(Character),Verifies whether the character is an alphabet from a to z.,Text
59,BI_IsLeap,BI_IsLeap,frmBI_F059,BI_Tool_Form_F059,Date,BI_IsLeap(Date),Returns whether the year of a date is a leap year,Date
60,BI_IsValidPAN,BI_IsValidPAN,frmBI_F060,BI_Tool_Form_F060,PAN,BI_IsValidPAN(PAN),Function to validate Indian Income Tax PAN,Audit
61,BI_LuhnAlgorithm,BI_LuhnAlgorithm,frmBI_F061,BI_Tool_Form_F061,CCNo,BI_LuhnAlgorithm(CCNo),Uses Luhn Algorithm to test the validity of Credit/Debit Card Numbers,Audit
62,BI_MonthlyCalendar,BI_MonthlyCalendar,frmBI_F062,BI_Tool_Form_F062,Month|Year|Format|Vertical,"BI_MonthlyCalendar(Month, Year, Format, Vertical)",Returns the monthly Calendar,Date
63,BI_MovingAverage,BI_MovingAverage,frmBI_F063,BI_Tool_Form_F063,Data|Interval|Labels|StandardError,"BI_MovingAverage(Data, Interval, Labels, StandardError)",Returns the moving average calculation of data. This is one of the Data Analysis Toolpak features.,Statistics
64,BI_MUS_Evaluate_OverStatement,BI_MUS_Evaluate_OverStatement,frmBI_F064,BI_Tool_Form_F064,Data|Sample|Audited|Tolerable|Expected|Risk,"BI_MUS_Evaluate_OverStatement(Data, Sample, Audited, Tolerable, Expected, Risk)",Returns Monetary Unit Sampling evaluation of Over Statement from the Audited and Samples data.,Audit Sampling
65,BI_MUS_Evaluate_UnderStatement,BI_MUS_Evaluate_UnderStatement,frmBI_F065,BI_Tool_Form_F065,Data|Sample|Audited|Tolerable|Expected|Risk,"BI_MUS_Evaluate_UnderStatement(Data, Sample, Audited, Tolerable, Expected, Risk)",Returns Monetary Unit Sampling evaluation of Under Statement from the Audited and Samples data.,Audit Sampling
66,BI_MUS_ExtractSample,BI_MUS_ExtractSample,frmBI_F066,BI_Tool_Form_F066,Data|Tolerable|Expected|Risk|OnlySamples,"BI_MUS_ExtractSample(Data, Tolerable, Expected, Risk, OnlySamples)",Returns Monetary Unit Sampling Samples from Data.,Audit Sampling
67,BI_MUS_SampleSize,BI_MUS_SampleSize,frmBI_F067,BI_Tool_Form_F067,Tolerable|Expected|Risk|Start,"BI_MUS_SampleSize(Tolerable, Expected, Risk, Start)",Returns Monetary Unit Sample size.,Audit Sampling
68,BI_NetworkDays.Indian,BI_NetworkDays_Indian,frmBI_F068,BI_Tool_Form_F068,startdate|enddate|holidays,"BI_NetworkDays_Indian(startdate, enddate, holidays)",Returns the number of whole work days between two dates considering Indian banking holidays (second and fourth Saturdays as holidays).,Other
69,BI_Num2Word,BI_Num2Word,frmBI_F069,BI_Tool_Form_F069,Number,BI_Num2Word(Number),Returns the English spelling of a Number,Text
70,BI_OhlsonsOScore,BI_OhlsonsOScore,frmBI_F070,BI_Tool_Form_F070,Data,BI_OhlsonsOScore(Data),Calculate Ohlsons O Score,Forensic Audit
71,BI_OhlsonsOScoreVariables,BI_OhlsonsOScoreVariables,frmBI_F071,BI_Tool_Form_F071,,BI_OhlsonsOScoreVariables(),Calculates Ohlsons O Score. It is used for predicting bankruptcy is a multi-factor financial formula postulated in 1980 by Dr. James Ohlson of the New York University,Forensic Audit
72,BI_PaybackPeriod,BI_PaybackPeriod,frmBI_F072,BI_Tool_Form_F072,CashFlows,BI_PaybackPeriod(CashFlows),Returns the payback period from series of cash flows,Financial
73,BI_PiotroskiFScore,BI_PiotroskiFScore,frmBI_F073,BI_Tool_Form_F073,LastYearData|CurrentYearData,"BI_PiotroskiFScore(LastYearData, CurrentYearData)",Calculates Piotroski F-score. Use BI_PiotroskiFScoreVariables() to list the variables and enter two years data,Forensic Audit
74,BI_PiotroskiFScoreVariables,BI_PiotroskiFScoreVariables,frmBI_F074,BI_Tool_Form_F074,,BI_PiotroskiFScoreVariables(),Lists out Piotroski F Score variables to make it easy to enter two years data for calculating Piotroski F Score.,Forensic Audit
75,BI_Pivot,BI_Pivot,frmBI_F075,BI_Tool_Form_F075,Data|Value|Row|Col|Function,"BI_Pivot(Data, Value, Row, Col, Function)",Creates a Pivot Table from Data.,Data
76,BI_Quarter,BI_Quarter,frmBI_F076,BI_Tool_Form_F076,Date|YearEndMonth,"BI_Quarter(Date, YearEndMonth)",Returns the Quarter number for a date.,Date
77,BI_QuarterEnd,BI_QuarterEnd,frmBI_F077,BI_Tool_Form_F077,Date|YearEndMonth,"BI_QuarterEnd(Date, YearEndMonth)",Returns the Quarter ending date.,Date
78,BI_QuarterStart,BI_QuarterStart,frmBI_F078,BI_Tool_Form_F078,Date|YearEndMonth,"BI_QuarterStart(Date, YearEndMonth)",Returns the Quarter Starting date.,Date
79,BI_Rank.Dense,BI_Rank_Dense,frmBI_F079,BI_Tool_Form_F079,Number|Ref|Order,"BI_Rank_Dense(Number, Ref, Order)",Returns the Rank without any missing rank when there is a tie.,Statistics
80,BI_Regression,BI_Regression,frmBI_F080,BI_Tool_Form_F080,KnownYs|KnownXs|Labels|Confidence,"BI_Regression(KnownYs, KnownXs, Labels, Confidence)",Calculates the Linear Regression. This is one of the Data Analysis Toolpak features.,Statistics
81,BI_RelativeSizeFactor,BI_RelativeSizeFactor,frmBI_F081,BI_Tool_Form_F081,categories|rowvalue|first|second,"BI_RelativeSizeFactor(categories, rowvalue, first, second)",Returns the Relative Size Factor of given data on any attribute.,Forensic Audit
82,BI_ReverseText,BI_ReverseText,frmBI_F082,BI_Tool_Form_F082,Text,BI_ReverseText(Text),Returns the text in reverse order.,Text
83,BI_RoundNumbersTest,BI_RoundNumbersTest,frmBI_F083,BI_Tool_Form_F083,Data|ColumnIndex|Digits,"BI_RoundNumbersTest(Data, ColumnIndex, Digits)",Returns the Round numbers test in data.,Forensic Audit
84,BI_RowOccurence,BI_RowOccurence,frmBI_F084,BI_Tool_Form_F084,Data|SelectedColumns,"BI_RowOccurence(Data, SelectedColumns)",Returns how many times the same complete row or selected columns occurs in the data.,Array
85,BI_RunningTotal,BI_RunningTotal,frmBI_F085,BI_Tool_Form_F085,Data,BI_RunningTotal(Data),Returns Running Total of Data,Data
86,BI_RupeeSymbol,BI_RupeeSymbol,frmBI_F086,BI_Tool_Form_F086,,BI_RupeeSymbol(),Returns the Rupee Symbol ₹,Indian
87,BI_SameSameDifferentTest,BI_SameSameDifferentTest,frmBI_F087,BI_Tool_Form_F087,Data|TestColumns|DifferentColumn,"BI_SameSameDifferentTest(Data, TestColumns, DifferentColumn)",Returns Same values in specified columns and different value in third column. Useful in forensic audit.,Forensic Audit
88,BI_SameSameSameTest,BI_SameSameSameTest,frmBI_F088,BI_Tool_Form_F088,Data|TestColumns,"BI_SameSameSameTest(Data, TestColumns)","Returns Same values in the given columns (like invoice number, supplier id, employee id). Useful in forensic audit.",Forensic Audit
89,BI_SLNSchedule,BI_SLNSchedule,frmBI_F089,BI_Tool_Form_F089,cost|life|scrap,"BI_SLNSchedule(cost, life, scrap)",Returns Straight Line Method of Depreciation Schedule.,Financial
90,BI_SubsetNumberDuplicationTest,BI_SubsetNumberDuplicationTest,frmBI_F090,BI_Tool_Form_F090,CategoryData|SubsetData,"BI_SubsetNumberDuplicationTest(CategoryData, SubsetData)",Calculates the Subset Number Duplication Test.,Forensic Audit
91,BI_Summary,BI_Summary,frmBI_F091,BI_Tool_Form_F091,Data|ValueColumn|SummaryColumn|Function,"BI_Summary(Data, ValueColumn, SummaryColumn, Function)",Returns Summary of data according to any attribute.,Data
92,BI_TextSplitByPositions,BI_TextSplitByPositions,frmBI_F092,BI_Tool_Form_F092,Text|Positions,"BI_TextSplitByPositions(Text, Positions)",Returns an array of text split by number of positions as in Power Query.,Text
93,BI_TopN,BI_TopN,frmBI_F093,BI_Tool_Form_F093,DataRange|IndexColumn|N,"BI_TopN(DataRange, IndexColumn, N)",Returns Top N ranked rows of a column of data.,Statistics
94,BI_TopPercent,BI_TopPercent,frmBI_F094,BI_Tool_Form_F094,Data|IndexColumn|Percent,"BI_TopPercent(Data, IndexColumn, Percent)",Returns Top N Percentage of Data,Statistics
95,BI_Unpivot,BI_Unpivot,frmBI_F095,BI_Tool_Form_F095,UnpivotData|RemainingData,"BI_Unpivot(UnpivotData, RemainingData)",Returns unpivoted data,Data
96,BI_UnpivotExceptFirst,BI_UnpivotExceptFirst,frmBI_F096,BI_Tool_Form_F096,Data,BI_UnpivotExceptFirst(Data),Unpivot Except First Column,Data
97,BI_WDVSchedule,BI_WDVSchedule,frmBI_F097,BI_Tool_Form_F097,cost|life|scrap,"BI_WDVSchedule(cost, life, scrap)",Returns Written Down Value (Declining Balance) Method of Depreciation Schedule.,Financial
98,BI_WordCount,BI_WordCount,frmBI_F098,BI_Tool_Form_F098,Text,BI_WordCount(Text),Returns the number of words in text.,Text
99,BI_WorkDay.Indian,BI_WorkDay_Indian,frmBI_F099,BI_Tool_Form_F099,StartDate|Days|Holidays,"BI_WorkDay_Indian(StartDate, Days, Holidays)",Returns the date after a specified number of Indian workdays (Second and Fourth Saturdays as holidays),Other
100,BI_YearlyCalendar,BI_YearlyCalendar,frmBI_F100,BI_Tool_Form_F100,Year|Format|Vertical,"BI_YearlyCalendar(Year, Format, Vertical)",Returns the Yearly Calendar of any date or current date in horizontal or vertical format.,Date
101,BI_ZScore,BI_ZScore,frmBI_F101,BI_Tool_Form_F101,Data|Population,"BI_ZScore(Data, Population)",Returns the Z Score of data.,Statistics
